item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0019,4,1276.3,0,5105.2
ITEM00002,TXN00001,PROD0119,1,6074.32,0,6074.32
ITEM00003,TXN00001,PROD0322,2,3721.16,15,6325.97
ITEM00004,TXN00001,PROD0422,3,8009.82,10,21626.51
ITEM00005,TXN00001,PROD0486,1,6441.88,0,6441.88
ITEM00006,TXN00002,PROD0240,2,244.76,0,489.52
ITEM00007,TXN00002,PROD0220,2,5825.68,10,10486.22
ITEM00008,TXN00002,PROD0279,5,9923.63,10,44656.33
ITEM00009,TXN00003,PROD0411,1,27377.95,0,27377.95
ITEM00010,TXN00003,PROD0120,4,1207.0,10,4345.2
ITEM00011,TXN00004,PROD0210,4,1456.04,0,5824.16
ITEM00012,TXN00004,PROD0110,3,4632.53,0,13897.59
ITEM00013,TXN00004,PROD0427,2,43538.17,10,78368.71
ITEM00014,TXN00004,PROD0426,4,2933.99,0,11735.96
ITEM00015,TXN00004,PROD0223,2,12243.25,10,22037.85
ITEM00016,TXN00005,PROD0469,3,1010.79,0,3032.37
ITEM00017,TXN00006,PROD0114,3,2070.8,0,6212.4
ITEM00018,TXN00006,PROD0429,4,4407.5,15,14985.5
ITEM00019,TXN00006,PROD0030,4,1903.51,0,7614.04
ITEM00020,TXN00006,PROD0232,2,1633.46,5,3103.57
ITEM00021,TXN00006,PROD0054,3,38763.61,10,104661.75
ITEM00022,TXN00007,PROD0224,5,8117.9,0,40589.5
ITEM00023,TXN00007,PROD0358,2,8822.3,15,14997.91
ITEM00024,TXN00007,PROD0109,2,3776.99,10,6798.58
ITEM00025,TXN00008,PROD0338,5,1237.91,5,5880.07
ITEM00026,TXN00008,PROD0132,2,2783.65,15,4732.2
ITEM00027,TXN00008,PROD0016,3,15521.83,15,39580.67
ITEM00028,TXN00008,PROD0335,2,3742.02,5,7109.84
ITEM00029,TXN00008,PROD0472,1,2810.9,0,2810.9
ITEM00030,TXN00009,PROD0393,2,12778.93,10,23002.07
ITEM00031,TXN00009,PROD0183,1,45791.53,10,41212.38
ITEM00032,TXN00009,PROD0263,2,1570.09,10,2826.16
ITEM00033,TXN00009,PROD0066,1,2581.65,10,2323.49
ITEM00034,TXN00009,PROD0247,4,6308.88,5,23973.74
ITEM00035,TXN00010,PROD0498,3,10113.38,15,25789.12
ITEM00036,TXN00010,PROD0259,3,13959.86,0,41879.58
ITEM00037,TXN00010,PROD0413,1,3449.29,0,3449.29
ITEM00038,TXN00010,PROD0160,4,3241.23,15,11020.18
ITEM00039,TXN00011,PROD0336,4,750.68,5,2852.58
ITEM00040,TXN00012,PROD0496,2,5792.13,15,9846.62
ITEM00041,TXN00012,PROD0203,5,14841.05,10,66784.73
ITEM00042,TXN00013,PROD0102,4,1921.62,15,6533.51
ITEM00043,TXN00013,PROD0295,5,3656.55,0,18282.75
ITEM00044,TXN00013,PROD0161,4,17176.71,15,58400.81
ITEM00045,TXN00013,PROD0472,2,2810.9,5,5340.71
ITEM00046,TXN00014,PROD0384,3,3354.94,5,9561.58
ITEM00047,TXN00014,PROD0062,2,1820.56,0,3641.12
