product_id,product_name,category,sub_category,price,cost,brand,stock_quantity,supplier_id
PROD0001,Hear,Books,Pick,1323.37,1067.57,Thomas Group,371,SUP015
PROD0002,Mother,Clothing,Where,2486.55,1772.66,Hart-Garrett,333,SUP021
PROD0003,Similar,Clothing,Factor,4247.32,3217.16,Chambers Group,449,SUP011
PROD0004,Contain,Beauty,Stay,3885.72,3144.43,"Combs, Gonzalez and Khan",355,SUP002
PROD0005,Important,Beauty,Significant,7439.38,6192.94,"Turner, Patterson and Pacheco",393,SUP020
PROD0006,Else,Home & Kitchen,Decide,10416.7,8413.22,Chase Ltd,353,SUP025
PROD0007,Cause,Books,Lot,1938.02,1242.04,Reed-Martinez,136,SUP014
PROD0008,Movement,Books,Sometimes,1017.05,646.13,Payne Group,160,SUP043
PROD0009,Miss,Books,Someone,1562.87,1011.35,"Williams, Hawkins and Cunningham",418,SUP041
PROD0010,Capital,Beauty,Rest,4483.36,3040.35,"Morales, Chan and Hernandez",91,SUP046
PROD0011,In,Home & Kitchen,Interest,14683.42,12002.53,Torres-Baker,171,SUP017
PROD0012,Under,Electronics,Class,47026.3,32370.22,Farmer Inc,146,SUP012
PROD0013,Cultural,Books,Treat,1835.71,1131.07,Jones-Hill,219,SUP024
PROD0014,Tough,Books,Wait,525.93,410.19,Smith-Harrison,279,SUP022
PROD0015,Against,Books,Sure,708.7,592.49,Vincent-Thomas,84,SUP035
PROD0016,Hair,Beauty,Dream,7599.43,4833.62,"Hernandez, Roy and Webb",125,SUP050
PROD0017,Consider,Electronics,Father,7243.91,4632.59,Kaufman LLC,107,SUP020
PROD0018,Nice,Clothing,Street,4036.89,2460.53,"Castillo, Holmes and Cooper",470,SUP021
PROD0019,Result,Books,For,1968.07,1266.81,Short PLC,45,SUP034
PROD0020,Owner,Clothing,Type,2596.41,2106.75,Johnson and Sons,94,SUP021
PROD0021,Since,Books,Recognize,928.38,709.03,"Sharp, Schultz and Perry",176,SUP014
PROD0022,Local,Books,Vote,822.45,534.88,Black-Clay,25,SUP015
PROD0023,Age,Home & Kitchen,Free,9287.39,7141.66,Carlson-Peters,224,SUP018
PROD0024,Chair,Beauty,Manager,935.41,622.08,"Adams, Scott and Perry",122,SUP006
PROD0025,Another,Beauty,Tough,2232.57,1778.15,Jones PLC,344,SUP044
PROD0026,Court,Books,Project,1466.59,1244.79,Phillips-White,375,SUP023
PROD0027,Indicate,Beauty,Realize,6735.32,5234.14,Little Inc,162,SUP028
PROD0028,Ten,Home & Kitchen,Learn,7081.06,4695.89,Morrison-Murphy,287,SUP050
PROD0029,Bank,Books,Nearly,811.67,614.38,Lowe-Reynolds,23,SUP009
PROD0030,Necessary,Electronics,Technology,42738.26,29362.06,"Estrada, Garcia and Newton",388,SUP017
PROD0031,Road,Home & Kitchen,Analysis,10483.55,8229.2,"Garcia, Warren and Alvarez",166,SUP025
PROD0032,Would,Books,Research,1744.8,1246.86,Miller PLC,326,SUP020
PROD0033,Beautiful,Electronics,Base,28413.45,21885.47,Giles-Clark,301,SUP029
PROD0034,First,Sports,Law,2673.93,2240.91,"Shepherd, Russell and Brown",125,SUP042
PROD0035,Move,Home & Kitchen,Use,7695.29,5080.23,Lucas PLC,224,SUP049
PROD0036,Discussion,Books,Recent,1605.31,1149.06,"Snow, Benson and Brennan",123,SUP032
PROD0037,Agent,Home & Kitchen,Involve,12842.61,8640.08,Cobb-Mitchell,454,SUP007
PROD0038,Business,Beauty,Style,6589.21,4887.57,"Weaver, Jones and Williams",375,SUP027
PROD0039,Fine,Beauty,Create,5564.22,4183.95,Brown-Avila,284,SUP016
PROD0040,Thank,Home & Kitchen,Sure,11106.85,6970.32,Sloan-Day,131,SUP043
PROD0041,Sure,Books,School,1448.51,1094.49,Scott and Sons,432,SUP007
PROD0042,Act,Beauty,Mother,5691.33,4825.78,"Williams, Gutierrez and Shaw",298,SUP020
PROD0043,Class,Clothing,Will,2787.63,1870.54,Bowers-Martinez,461,SUP024
PROD0044,South,Sports,Role,9198.32,6774.6,"Porter, Adams and Williams",144,SUP026
PROD0045,Person,Beauty,Space,1704.75,1321.52,"Lopez, Jones and Massey",477,SUP039
PROD0046,Stay,Home & Kitchen,Begin,3183.51,2207.26,Tate-Pena,472,SUP001
PROD0047,As,Books,Office,1703.66,1447.44,Williams Group,127,SUP041
PROD0048,Arm,Clothing,Voice,894.67,746.78,Morris Group,45,SUP038
PROD0049,Hospital,Home & Kitchen,Performance,5684.15,3544.0,Reed LLC,80,SUP031
PROD0050,Relationship,Home & Kitchen,Sister,1911.8,1265.78,Anderson-Martin,404,SUP008
PROD0051,Small,Sports,Court,11281.15,9080.58,Clark Ltd,387,SUP036
PROD0052,Former,Books,Specific,475.1,387.8,Copeland-Dawson,98,SUP035
PROD0053,Science,Electronics,Either,28773.8,21606.42,Clark-Jones,186,SUP042
PROD0054,Painting,Electronics,Traditional,18710.47,12621.0,"Adams, Silva and Sparks",218,SUP015
