item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0080,4,6714.19,15,22828.25
ITEM00002,TXN00001,PROD0447,2,1972.62,10,3550.72
ITEM00003,TXN00001,PROD0390,5,2197.08,10,9886.86
ITEM00004,TXN00001,PROD0084,3,7547.97,5,21511.71
ITEM00005,TXN00002,PROD0337,1,41388.97,0,41388.97
ITEM00006,TXN00003,PROD0198,3,808.8,15,2062.44
ITEM00007,TXN00003,PROD0137,3,5098.42,0,15295.26
ITEM00008,TXN00003,PROD0103,2,1352.24,15,2298.81
ITEM00009,TXN00003,PROD0324,5,3589.96,5,17052.31
ITEM00010,TXN00004,PROD0036,2,1605.31,5,3050.09
ITEM00011,TXN00004,PROD0280,3,4502.87,0,13508.61
ITEM00012,TXN00004,PROD0339,1,576.39,5,547.57
ITEM00013,TXN00004,PROD0330,2,5153.59,0,10307.18
ITEM00014,TXN00005,PROD0366,2,977.08,10,1758.74
ITEM00015,TXN00005,PROD0011,1,14683.42,5,13949.25
ITEM00016,TXN00005,PROD0479,1,1403.85,15,1193.27
ITEM00017,TXN00005,PROD0155,4,7006.17,10,25222.21
ITEM00018,TXN00006,PROD0222,2,2886.68,0,5773.36
ITEM00019,TXN00006,PROD0278,3,1070.88,15,2730.74
ITEM00020,TXN00006,PROD0418,3,7012.53,5,19985.71
ITEM00021,TXN00006,PROD0120,1,5930.28,0,5930.28
ITEM00022,TXN00007,PROD0461,1,32169.77,0,32169.77
ITEM00023,TXN00007,PROD0161,2,4942.42,5,9390.6
ITEM00024,TXN00007,PROD0096,5,729.82,10,3284.19
ITEM00025,TXN00007,PROD0319,3,8173.48,0,24520.44
ITEM00026,TXN00007,PROD0339,1,576.39,5,547.57
ITEM00027,TXN00008,PROD0386,2,14670.31,15,24939.53
ITEM00028,TXN00009,PROD0419,1,9545.51,5,9068.23
ITEM00029,TXN00010,PROD0246,1,3628.7,15,3084.39
ITEM00030,TXN00010,PROD0320,4,10257.81,10,36928.12
ITEM00031,TXN00010,PROD0182,5,18765.07,5,89134.08
ITEM00032,TXN00011,PROD0127,3,2230.76,5,6357.67
ITEM00033,TXN00011,PROD0476,4,4378.81,10,15763.72
ITEM00034,TXN00011,PROD0028,1,7081.06,0,7081.06
ITEM00035,TXN00011,PROD0499,5,3933.69,15,16718.18
ITEM00036,TXN00011,PROD0319,2,8173.48,15,13894.92
ITEM00037,TXN00012,PROD0201,1,3819.54,10,3437.59
ITEM00038,TXN00012,PROD0273,3,3442.86,5,9812.15
ITEM00039,TXN00012,PROD0334,5,5421.26,0,27106.3
ITEM00040,TXN00012,PROD0336,4,915.5,15,3112.7
ITEM00041,TXN00012,PROD0148,4,3015.45,10,10855.62
ITEM00042,TXN00013,PROD0072,2,2921.46,15,4966.48
ITEM00043,TXN00014,PROD0134,3,3004.97,10,8113.42
ITEM00044,TXN00014,PROD0363,2,3824.8,15,6502.16
ITEM00045,TXN00014,PROD0452,5,21329.73,10,95983.79
ITEM00046,TXN00014,PROD0456,4,3979.64,5,15122.63
ITEM00047,TXN00015,PROD0388,1,1335.5,15,1135.17
